station_id,lat,lon,country,years,location,scale,shape,index,rp10,rp30,rp100,kg,cluster,distance,n_gauges,record_len,start,end
AU_000038,-31.9557999890877,115.7619,AU,214,0.8434492,0.2215858,0.1164898,52.5,74.2,92.5,115.0,Mediterranean,139.0,80.0,7.0,20.28314,1995-05-09 01:00:00,2015-08-20 10:00:00
AU_000468,-31.4755999888542,118.2789,AU,409,0.7600783,0.2920975,0.2001501,39.9,63.5,86.7,118.3,Arid cold,8.0,520.0,10.0,49.57598,1966-01-02 10:00:00,2015-08-01 00:00:00
AU_000469,-31.4993999888657,118.2242,AU,409,0.7600783,0.2920975,0.2001501,38.8,61.8,84.4,115.1,Arid cold,8.0,520.0,10.0,22.05784,1963-03-11 10:00:00,1985-04-01 00:00:00
AU_000470,-14.7882999870887,126.4964,AU,211,0.7889403,0.330362,0.05893746,111.7,176.9,226.3,283.0,Tropical,120.0,1000.0,9.0,17.99738,1997-09-01 12:00:00,2015-09-01 00:00:00
AU_000475,-16.4180999864751,126.1025,AU,179,0.7318723,0.3979135,0.08954733,97.8,168.6,225.4,293.1,Tropical,26.0,560.0,5.0,21.78029,1993-11-19 19:00:00,2015-09-01 00:00:00
AU_000480,-15.379699986843,126.3114,AU,179,0.7318723,0.3979135,0.08954733,136.6,235.4,314.8,409.3,Tropical,26.0,560.0,5.0,18.74857,1996-12-01 03:00:00,2015-09-01 00:00:00
AU_000495,-32.9341999895744,117.1797,AU,409,0.7600783,0.2920975,0.2001501,39.0,62.0,84.7,115.5,Mediterranean,8.0,520.0,10.0,41.76181,1963-08-27 13:00:00,2005-06-01 00:00:00
AU_000497,-33.9643999900987,118.4889,AU,409,0.7600783,0.2920975,0.2001501,34.7,55.2,75.5,103.0,Arid cold,8.0,520.0,10.0,47.33333,1968-05-01 13:00:00,2015-09-01 00:00:00
AU_000501,-32.1177999891674,116.8678,AU,409,0.7600783,0.2920975,0.2001501,38.1,60.6,82.9,113.0,Mediterranean,8.0,520.0,10.0,54.65959,1960-08-02 15:00:00,2015-04-01 00:00:00
AU_000509,-31.679699988953,128.8958,AU,215,0.8033208,0.2948717,0.08371174,38.6,59.2,75.5,94.8,Arid cold,193.0,780.0,8.0,20.3412,1995-03-29 10:00:00,2015-08-01 00:00:00
AU_000510,-30.8388999885514,128.1139,AU,215,0.8033208,0.2948717,0.08371174,31.7,48.6,62.0,77.9,Arid hot,193.0,780.0,8.0,34.24401,1961-01-01 10:00:00,1995-04-01 00:00:00
AU_000513,-30.784699988526,121.4533,AU,409,0.7600783,0.2920975,0.2001501,45.1,71.7,97.9,133.6,Arid hot,8.0,520.0,10.0,76.32752,1939-04-03 10:00:00,2015-08-01 00:00:00
AU_000514,-28.8877999876844,121.3295,AU,409,0.7600783,0.2920975,0.2001501,44.1,70.2,96.0,130.9,Arid hot,8.0,520.0,10.0,51.42562,1963-02-26 20:00:00,2014-08-01 00:00:00
AU_000518,-25.0340999863663,128.301,AU,1013,0.7628503,0.3679338,0.0640332,57.8,95.6,124.5,157.9,Arid hot,38.0,940.0,36.0,58.57906,1956-10-01 01:00:00,2015-05-01 00:00:00
AU_000522,-12.4238999883292,130.8925,AU,211,0.7889403,0.330362,0.05893746,150.4,238.2,304.8,381.2,Tropical,120.0,1000.0,9.0,61.45003,1953-09-17 10:00:00,2015-03-01 00:00:00
AU_000527,-12.3235999883907,133.0579,AU,211,0.7889403,0.330362,0.05893746,103.8,164.4,210.3,263.0,Tropical,120.0,1000.0,9.0,18.0835,1996-10-01 01:00:00,2014-11-01 00:00:00
AU_000551,-11.1537999891604,132.143,AU,211,0.7889403,0.330362,0.05893746,140.1,221.9,283.8,355.0,Tropical,120.0,1000.0,9.0,18.38672,1996-10-10 07:00:00,2015-03-01 00:00:00
AU_000560,-13.1671999878953,130.1226,AU,211,0.7889403,0.330362,0.05893746,159.0,251.9,322.2,403.1,Tropical,120.0,1000.0,9.0,18.24492,1997-01-01 02:00:00,2015-04-01 00:00:00
AU_000580,-15.5747999867677,133.2137,AU,1013,0.7628503,0.3679338,0.0640332,110.4,182.6,237.8,301.6,Arid hot,38.0,940.0,36.0,18.57906,1996-10-01 01:00:00,2015-05-01 00:00:00
AU_000586,-14.8529999870606,134.0361,AU,211,0.7889403,0.330362,0.05893746,88.9,140.9,180.2,225.4,Tropical,120.0,1000.0,9.0,16.7974,1997-08-13 19:00:00,2014-06-01 00:00:00
AU_000592,-17.2121999862482,137.9462,AU,1013,0.7628503,0.3679338,0.0640332,133.9,221.3,288.2,365.6,Tropical,38.0,940.0,36.0,16.65024,1997-10-06 13:00:00,2014-06-01 00:00:00
AU_000598,-16.4154999864759,132.0859,AU,1013,0.7628503,0.3679338,0.0640332,88.0,145.5,189.5,240.3,Arid hot,38.0,940.0,36.0,18.09868,1997-07-26 12:00:00,2015-09-01 00:00:00
AU_000603,-17.3868999862047,131.1166,AU,1013,0.7628503,0.3679338,0.0640332,100.0,165.3,215.3,273.0,Arid hot,38.0,940.0,36.0,18.66393,1996-07-01 01:00:00,2015-03-01 00:00:00
AU_000607,-17.3981999862019,131.9558,AU,1013,0.7628503,0.3679338,0.0640332,102.2,169.0,220.1,279.1,Arid hot,38.0,940.0,36.0,16.8112,1997-11-08 18:00:00,2014-09-01 00:00:00
AU_000617,-13.7378999875893,130.6834,AU,211,0.7889403,0.330362,0.05893746,124.2,196.7,251.6,314.7,Tropical,120.0,1000.0,9.0,34.77515,1980-05-21 10:00:00,2015-03-01 00:00:00
AU_000628,-18.6369999859586,135.945,AU,1013,0.7628503,0.3679338,0.0640332,68.5,113.3,147.5,187.1,Arid hot,38.0,940.0,36.0,45.44319,1968-12-20 22:00:00,2014-06-01 00:00:00
