,lat,lon,country,rp10,rp100,kg
AU_000468,-31.4755999888542,118.2789,AU,26.5393989809148,-20.4008302061145,Arid cold
AU_000495,-32.9341999895744,117.1797,AU,61.2132402893502,6.36412415367191,Mediterranean
AU_000497,-33.9643999900987,118.4889,AU,62.9215072080802,8.67886589149008,Arid cold
AU_000501,-32.1177999891674,116.8678,AU,77.6547006839542,17.8296427300055,Mediterranean
AU_000510,-30.8388999885514,128.1139,AU,87.9121706012955,43.543964300544,Arid hot
AU_000513,-30.784699988526,121.4533,AU,55.1674668038996,7.36006996852736,Arid hot
AU_000518,-25.0340999863663,128.301,AU,71.7931842787558,41.3141397024753,Arid hot
AU_000617,-13.7378999875893,130.6834,AU,45.8250539709791,19.3143451035674,Tropical
AU_000628,-18.6369999859586,135.945,AU,32.1031414559886,-0.0495194826180723,Arid hot
AU_000631,-19.6422999858433,134.1833,AU,4.83014121406012,-19.6862184093645,Arid hot
AU_000650,-23.7950999860907,133.889,AU,42.5646828578054,13.9192357128335,Arid hot
AU_000652,-22.9493999859521,136.1442,AU,53.9084424247012,22.1685226259466,Arid hot
AU_000670,-31.1557999887011,136.8054,AU,98.795337844162,59.5148289827404,Arid hot
AU_000672,-32.5225999893681,136.4926,AU,75.6011006308451,39.499024738563,Arid cold
AU_000695,-32.1296999891732,133.6976,AU,41.2885580732793,-2.5834089784006,Arid cold
AU_000701,-33.7080999899674,136.5026,AU,47.2294054236692,9.7064148148778,Arid cold
AU_000703,-33.5084999898656,135.2928,AU,37.7946115900425,2.38050468647912,Mediterranean
AU_000722,-29.0388999877477,167.9408,AU,10.7195630888128,-14.3689466890208,Humid subtropical
AU_000734,-18.2291999860263,127.6636,AU,21.1840586888493,-5.08113823306411,Arid hot
AU_000768,-35.7528999910226,136.5938,AU,28.5734018532519,-6.59366809029141,Mediterranean
AU_000777,-34.7976999905281,138.6281,AU,18.8602604818669,-18.717517115925,Arid cold
AU_000780,-34.952399990608,138.5204,AU,36.6968378982661,-4.81575798160051,Mediterranean
AU_000783,-34.7110999904833,138.6222,AU,19.2558021140861,-18.3894344403081,Arid cold
AU_000784,-34.9210999905918,138.6216,AU,23.1420254007909,-14.2274516368347,Mediterranean
AU_000799,-35.4122999908462,138.5751,AU,-11.9609756809713,-39.3230365564346,Mediterranean
AU_000800,-35.4427999908619,138.5444,AU,-17.8568921790674,-43.4001447720101,Mediterranean
