,lat,lon,country,rp10,rp100,kg
AU_000495,-32.9341999895744,117.1797,AU,38.5560862066874,-2.92066435825499,Mediterranean
AU_000497,-33.9643999900987,118.4889,AU,32.3322287397817,-8.50943628998017,Arid cold
AU_000513,-30.784699988526,121.4533,AU,25.6835061086892,-8.44044947338678,Arid hot
AU_000522,-12.4238999883292,130.8925,AU,-17.3855480710107,-25.1351047256797,Tropical
AU_000617,-13.7378999875893,130.6834,AU,44.7930513206033,45.232078536246,Tropical
AU_000628,-18.6369999859586,135.945,AU,8.50659372149589,4.77440844992835,Arid hot
AU_000631,-19.6422999858433,134.1833,AU,-29.8639111124452,-42.1509339283469,Arid hot
AU_000650,-23.7950999860907,133.889,AU,15.7185184059444,2.97855916942363,Arid hot
AU_000652,-22.9493999859521,136.1442,AU,21.0595366334759,6.58137996405869,Arid hot
AU_000670,-31.1557999887011,136.8054,AU,40.8524680956793,17.3848490528722,Arid hot
AU_000672,-32.5225999893681,136.4926,AU,41.1983106547409,18.9577713443373,Arid cold
AU_000695,-32.1296999891732,133.6976,AU,28.1033906130519,0.721589253516947,Arid cold
AU_000701,-33.7080999899674,136.5026,AU,19.3113643995542,-6.20490745052444,Arid cold
AU_000703,-33.5084999898656,135.2928,AU,9.36977810161892,-16.6984502699612,Mediterranean
AU_000722,-29.0388999877477,167.9408,AU,-9.78222868817092,-28.3344881946662,Humid subtropical
AU_000734,-18.2291999860263,127.6636,AU,-1.7461588691664,-3.65630522665896,Arid hot
AU_000757,-33.20249998971,138.6024,AU,40.1094449106531,26.6376849054807,Mediterranean
AU_000768,-35.7528999910226,136.5938,AU,10.3668877494245,-14.8014051024019,Mediterranean
AU_000777,-34.7976999905281,138.6281,AU,17.811560720655,6.83424975005243,Arid cold
AU_000780,-34.952399990608,138.5204,AU,29.1803209247409,19.1489786252874,Mediterranean
AU_000783,-34.7110999904833,138.6222,AU,-1.14073383005903,-31.5908047001433,Arid cold
AU_000784,-34.9210999905918,138.6216,AU,25.0019817034555,15.2686479037742,Mediterranean
AU_000789,-34.5518999904011,138.8342,AU,23.3409030239757,0.932817469822719,Mediterranean
AU_000794,-34.7121999904839,138.9469,AU,-9.91797949267358,-40.3033774180802,Mediterranean
AU_000817,-35.2958999907859,139.0328,AU,15.7620175944242,-11.3654573587461,Arid cold
AU_000844,-13.7641999875758,143.1178,AU,-10.2959161720018,-25.5652669623398,Tropical
AU_000846,-12.6266999882069,141.8836,AU,-16.7824848810658,-27.6219123248594,Tropical
AU_000850,-15.558099986774,144.4453,AU,-10.1001654641984,-20.3775161641753,Tropical
AU_000851,-16.0007999866132,144.0758,AU,4.29762305711699,-7.56300972773112,Tropical
