"","station_id","lat","lon","country","years","location","scale","shape","index","rp10","rp30","rp100","kg","cluster","distance","n_gauges","record_len","start","end"
"1","US_004672",39.8732699931007,-75.22678,"US",112,39.3263905002422,12.3952871440463,0.0024689954758636,NA,67.2979748569692,81.4514418477201,96.6716008327613,"Humid subtropical",NA,NA,NA,NA,NA,NA
"2","US_003702",35.595399990941,-82.5568,"US",109,32.3361267311181,8.56915750878473,0.0587242254813075,NA,52.9520958688157,64.4192492332375,77.5935665670528,"Humid subtropical",NA,NA,NA,NA,NA,NA
"3","US_004682",40.484599993392,-80.2144,"US",108,30.4236839792224,9.06999460970643,0.0111304565652595,NA,51.0922723559081,61.7046758951536,73.2336328478127,"Humid continental",NA,NA,NA,NA,NA,NA
"4","AU_001864",-42.8896999944723,147.3278,"AU",103,17.4117258153832,5.33498734221162,0.221775081278153,NA,32.980611118995,44.3102354378416,60.0806685729416,"Oceanic",NA,NA,NA,NA,NA,NA
"5","AU_001461",-33.8606999900455,151.205,"AU",100,45.2828241931284,16.9889204954938,0.0803159294595258,NA,87.1870126418093,111.351171338209,139.826698468746,"Oceanic",NA,NA,NA,NA,NA,NA
"6","IE_000031",53.4279999976471,-6.241,"IE",78,15.9780778649581,3.47733930084161,0.268344216603129,NA,26.7231343935151,35.1533616235039,47.5501310050044,"Oceanic",NA,NA,NA,NA,NA,NA
"7","AU_001026",-23.3752999860167,150.4775,"AU",76,42.7908758452054,12.5668093369924,0.137925869998393,NA,75.9512437755044,96.9896139798173,123.520475592687,"Humid subtropical",NA,NA,NA,NA,NA,NA
"8","AU_000904",-16.8735999863392,145.7458,"AU",72,71.9197194401809,23.4414377029149,-0.224567708630169,NA,113.330343805363,127.487370284604,139.151670258752,"Tropical",NA,NA,NA,NA,NA,NA
"9","US_000684",38.555199992454,-121.4183,"US",72,18.9154420662949,4.85750018036024,0.150321322934785,NA,31.9228620535624,40.3455257419561,51.1232214895492,"Mediterranean",NA,NA,NA,NA,NA,NA
"10","US_005569",33.978599990106,-98.4928,"US",71,42.9527687661346,14.873598078494,0.0251093681995671,NA,77.3875398908181,95.4900363149542,115.481712919592,"Humid subtropical",NA,NA,NA,NA,NA,NA
"11","US_001051",29.1827999878086,-81.0483,"US",70,58.4921577155467,17.5134473685562,-0.119937116777889,NA,93.0330756939472,107.208701309874,120.412263240484,"Humid subtropical",NA,NA,NA,NA,NA,NA
"12","US_005028",32.4104999893122,-99.6822,"US",70,43.1032436459668,13.2326808066725,0.01481174485627,NA,73.3834811793158,89.0279575103962,106.097268754738,"Humid subtropical",NA,NA,NA,NA,NA,NA
"13","US_005041",35.2294999907515,-101.7042,"US",70,38.1379934078041,15.3391621837481,0.111900744774893,NA,77.3919524868862,101.247775534176,130.424178438487,"Arid cold",NA,NA,NA,NA,NA,NA
"14","US_005472",29.5442999879645,-98.4839,"US",70,57.6672808554896,23.7859959023636,-0.026753824607907,NA,109.6150367909,134.629343900132,160.621146357351,"Humid subtropical",NA,NA,NA,NA,NA,NA
"15","US_005555",31.6188899889235,-97.22833,"US",70,49.4050421210227,14.9646926980101,-1.8147504747232e-05,NA,83.0804100005843,100.048414030594,118.2419883283,"Humid subtropical",NA,NA,NA,NA,NA,NA
"16","AU_001806",-41.5396999938797,147.2033,"AU",69,18.4207409459756,4.77432235178712,0.0227342279198441,NA,29.4443003289076,35.2162882980943,41.5728732677574,"Oceanic",NA,NA,NA,NA,NA,NA
"17","AU_000870",-17.9474999860801,122.2353,"AU",68,45.4433597369309,22.123476904938,0.207331293306133,NA,108.881963620288,153.975959031083,215.685932482922,"Arid hot",NA,NA,NA,NA,NA,NA
"18","AU_001301",-31.0260999886396,150.2687,"AU",68,27.8027441186255,9.1775318105285,0.142048670286654,NA,52.1382549657971,67.6830238150194,87.3814350853657,"Humid subtropical",NA,NA,NA,NA,NA,NA
"19","AU_001504",-35.3048999907905,149.2014,"AU",68,24.3866020851607,7.39781397425241,-0.0011328532493864,NA,41.0131985515513,49.3750508542014,58.3291312529772,"Oceanic",NA,NA,NA,NA,NA,NA
"20","US_005097",25.9140999866102,-97.423,"US",68,56.6821862373804,21.241120872183,-0.0124351975464362,NA,103.819889451104,127.076749878688,151.65229229642,"Humid subtropical",NA,NA,NA,NA,NA,NA
"21","US_005051",30.3207999883115,-97.7604,"US",67,53.3893680360254,19.4064191506,-0.0198684211631189,NA,96.0990238526906,116.906994196497,138.703646171613,"Humid subtropical",NA,NA,NA,NA,NA,NA
"22","NL_000008",52.0999999973876,5.18,"NL",66,19.2061166276747,6.17920726721904,0.154663881951326,NA,35.8384917156004,46.6855891452877,60.6367515460675,"Oceanic",NA,NA,NA,NA,NA,NA
"23","US_005156",27.7741999872417,-97.5122,"US",65,59.6561498102571,20.8059417828569,0.124102848092742,NA,113.668799572157,147.163571630641,188.721175770477,"Humid subtropical",NA,NA,NA,NA,NA,NA
"24","US_000163",32.131299989174,-110.9552,"US",64,24.2900884423209,9.28966304676628,0.0922290197982509,NA,47.522876155062,61.1885154313443,77.5196306343495,"Arid hot",NA,NA,NA,NA,NA,NA
"25","US_001165",33.6300999899276,-84.4418,"US",64,44.5741051139172,11.609890698147,0.139199003054412,NA,75.2556240102709,94.762204640817,119.398264520296,"Humid subtropical",NA,NA,NA,NA,NA,NA
"26","US_001251",32.131329989174,-81.20237,"US",64,59.5171561055529,21.4131627684649,-0.0737235312022538,NA,103.919548574117,123.65231210746,143.056078626831,"Humid subtropical",NA,NA,NA,NA,NA,NA
