,lat,lon,country,rp10,rp100,kg
AU_001019,-24.3788999862102,150.5164,AU,-47.3182777944832,-40.2900685499193,Humid subtropical
AU_001024,-23.6285999860601,150.3867,AU,-41.1476038353256,-32.4459035114617,Humid subtropical
AU_001025,-25.1693999864013,151.6375,AU,-39.5835795941599,-33.0019699808851,Humid subtropical
AU_001026,-23.3752999860167,150.4775,AU,-34.7366417662488,-24.1413596296139,Humid subtropical
AU_001028,-24.950299986345,150.0725,AU,-41.9099869720227,-34.6279737606623,Humid subtropical
AU_001031,-23.8552999861022,151.2628,AU,-42.310942846371,-35.057399736162,Humid subtropical
AU_001032,-24.9068999863342,152.323,AU,-53.183575950844,-50.1625782161333,Humid subtropical
AU_001038,-25.2557999864241,152.2819,AU,-49.0539013217309,-43.2757002412669,Humid subtropical
AU_001050,-27.6296999871876,152.7111,AU,-48.2080012512207,-45.6599719575656,Humid subtropical
AU_001052,-28.0205999873359,153.0131,AU,-31.3950438209347,-20.8386926524119,Oceanic
AU_001056,-26.4180999867666,152.9128,AU,-55.8091794537048,-52.4525479603237,Humid subtropical
AU_001061,-27.5435999871557,152.3375,AU,-54.4608009212682,-53.6361175190503,Humid subtropical
AU_001062,-26.1830999866922,152.6414,AU,-49.7320485301312,-45.7979707961873,Humid subtropical
AU_001063,-27.8105999872555,152.6653,AU,-43.7623361225701,-41.0636803632533,Humid subtropical
AU_001066,-26.5955999868244,152.7281,AU,-55.0375902988132,-51.5103106030501,Humid subtropical
AU_001067,-26.0857999866622,152.2381,AU,-48.7347930384228,-44.586247659919,Humid subtropical
AU_001068,-26.5543999868108,151.8456,AU,-54.7156634984429,-50.5985126206202,Humid subtropical
AU_001071,-25.5160999864952,152.7156,AU,-51.1296697734254,-47.3289396055757,Humid subtropical
AU_001073,-28.0301999873396,152.5529,AU,-46.7629932021459,-46.2099627225091,Humid subtropical
AU_001076,-26.2421999867107,151.9425,AU,-48.8942903796964,-45.1490038905687,Humid subtropical
AU_001079,-28.2110999874102,152.865,AU,-42.2550036543068,-35.5349730900543,Humid subtropical
AU_001082,-28.2263999874162,153.2786,AU,-44.1283730464659,-37.8671732977795,Humid subtropical
AU_001083,-27.9694999873162,153.1954,AU,-46.4575384880365,-38.1814525660177,Oceanic
AU_001087,-27.4777999871315,153.0306,AU,-44.5212205348159,-42.3528873073301,Humid subtropical
AU_001089,-27.4117999871074,153.0457,AU,-46.3737632586094,-44.2678543956318,Humid subtropical
AU_001093,-27.3616999870893,152.8861,AU,-45.702162015916,-43.0624946982238,Humid subtropical
AU_001096,-27.5277999871499,153.25,AU,-48.8604586197552,-43.9579601997962,Humid subtropical
AU_001099,-26.64309998684,152.9392,AU,-55.0605913025227,-51.6498250167282,Humid subtropical
AU_001101,-27.3341999870794,152.7717,AU,-53.3760639476259,-53.9251908935366,Humid subtropical
AU_001104,-27.7353999872271,152.9443,AU,-45.8265664257853,-38.921015868593,Humid subtropical
AU_001105,-27.0257999869701,152.5642,AU,-49.5610568586438,-45.4898263936733,Humid subtropical
AU_001106,-20.3724999858044,118.6317,AU,-40.6163871791798,-29.7030744651367,Arid hot
AU_001108,-20.7766999857987,117.1456,AU,-33.0269585494024,-22.0270577050184,Arid hot
AU_001112,-27.7093999872173,153.2014,AU,-37.1148399867809,-31.428495640681,Humid subtropical
AU_001119,-25.9962999866349,152.8335,AU,-35.1136322577674,-25.6264239407486,Humid subtropical
AU_001122,-27.5313999871512,153.1825,AU,-42.4276816870731,-40.1547809192947,Humid subtropical
AU_001124,-27.6080999871796,153.2381,AU,-44.7006372611028,-39.698829304627,Humid subtropical
AU_001125,-27.3946999871012,152.9308,AU,-49.2411272476533,-46.7938360650878,Humid subtropical
AU_001131,-25.869399986597,152.3172,AU,-42.1391796056343,-36.1638228757465,Humid subtropical
AU_001133,-26.7849999868876,153.1147,AU,-50.408643266893,-45.6697209367848,Humid subtropical
AU_001144,-28.0480999873466,153.2875,AU,-42.7244152618323,-33.3071887239725,Oceanic
AU_001145,-28.1055999873689,153.3286,AU,-35.858948184273,-28.6323072690271,Humid subtropical
AU_001148,-28.1177999873736,153.4457,AU,-41.1109158416583,-34.5227029609375,Humid subtropical
AU_001152,-27.6955999872122,152.9408,AU,-44.9083726363918,-37.9197210467666,Humid subtropical
AU_001155,-28.1751999873961,152.6557,AU,-48.3953973023177,-45.4702392354344,Humid subtropical
AU_001183,-27.9316999873016,151.9058,AU,-59.2042917959335,-56.8603670178127,Humid subtropical
AU_001184,-28.2060999874083,152.1003,AU,-42.3653307071666,-36.8677771406491,Humid subtropical
AU_001185,-28.334399987459,152.2953,AU,-39.5046955477692,-31.6098710182627,Humid subtropical
AU_001187,-28.0091999873315,151.5861,AU,-43.1987989073771,-40.6103273780917,Humid subtropical
AU_001193,-28.8543999876705,151.1681,AU,-47.2613784584593,-44.0462968962444,Humid subtropical
AU_001195,-28.5724999875547,150.7542,AU,-38.9407546797403,-34.1336000035049,Humid subtropical
AU_001196,-28.167199987393,150.6475,AU,-47.9337583625973,-43.9436433454923,Humid subtropical
AU_001197,-27.1863999870265,151.2553,AU,-51.163555079918,-49.5176589093757,Humid subtropical
AU_001198,-28.6216999875747,151.9533,AU,-37.9490604997683,-31.3699488043617,Oceanic
AU_001202,-27.4033999871044,151.7413,AU,-54.7707124330026,-49.0193678634176,Humid subtropical
AU_001207,-28.4224999874942,151.213,AU,-45.8678971248915,-42.109566435281,Humid subtropical
AU_001221,-27.3409999870818,150.0621,AU,-45.4420121645852,-42.5770929039893,Humid subtropical
AU_001228,-25.9524999866217,150.6142,AU,-46.6448760861624,-41.3870007285291,Humid subtropical
AU_001237,-25.8427999865891,148.5669,AU,-50.4429017309005,-54.5962462056518,Humid subtropical
AU_001238,-26.4887999867895,147.9777,AU,-52.2650395719229,-54.4839922440927,Humid subtropical
AU_001239,-27.1590999870169,149.0702,AU,-57.3508721157671,-59.0200319224516,Humid subtropical
AU_001240,-26.6382999868385,149.4261,AU,-53.9388458009929,-51.8416597640435,Humid subtropical
AU_001248,-26.4138999867652,146.2558,AU,-40.9303518833455,-39.6710183798724,Arid hot
AU_001250,-28.5757999875561,148.2297,AU,-52.9209749573308,-46.0171616073289,Arid hot
AU_001252,-25.3352999864455,147.3,AU,-49.1510824013492,-52.180080496302,Arid hot
AU_001258,-26.6124999868299,144.2578,AU,-37.1584756485492,-34.5784450393167,Arid hot
AU_001266,-29.5406999879629,148.5818,AU,-50.0707567592949,-43.5560178335164,Arid hot
AU_001269,-22.240599985869,114.0967,AU,-24.81723377102,-19.2148915904311,Arid hot
AU_001284,-21.6391999858232,116.3308,AU,-45.6304553340573,-32.7784891089119,Arid hot
AU_001285,-31.9860999891025,147.9489,AU,-59.6837463974992,-63.0342702658075,Arid hot
AU_001291,-29.4818999879373,149.8383,AU,-43.7131379266659,-46.2699316304595,Humid subtropical
AU_001296,-30.3734999883356,150.6723,AU,-52.647455753107,-57.7189684996036,Humid subtropical
AU_001297,-29.3898999878974,151.2448,AU,-44.8224871108075,-41.6032142696832,Oceanic
AU_001298,-30.3353999883181,150.9338,AU,-35.0426113164271,-36.7111599253405,Humid subtropical
AU_001299,-30.1559999882364,150.3889,AU,-45.908758526013,-51.805033775179,Humid subtropical
AU_001301,-31.0260999886396,150.2687,AU,-49.0375089381677,-51.6007709950664,Humid subtropical
AU_001303,-31.0866999886683,150.8467,AU,-50.021246517042,-53.6532468611351,Humid subtropical
AU_001305,-30.9671999886117,151.3451,AU,-46.437274768874,-49.7075664904554,Humid subtropical
AU_001306,-31.3364999887874,150.8537,AU,-43.4489825636846,-46.6840123090963,Humid subtropical
AU_001311,-29.6951999880306,151.6935,AU,-51.8605917613072,-51.9392677530934,Oceanic
AU_001314,-28.4621999875102,152.3506,AU,-43.7118332422628,-39.8059049424803,Humid subtropical
AU_001323,-28.977599987722,152.1552,AU,-46.3456383982785,-41.2132143790603,Oceanic
AU_001334,-28.7550999876294,152.4507,AU,-44.0144860758441,-40.2728080873437,Humid subtropical
AU_001335,-30.0092999881703,152.0101,AU,-52.4174700744773,-51.9167006960019,Oceanic
AU_001342,-28.4413999875018,152.8296,AU,-40.7726241313077,-33.2114477511006,Humid subtropical
AU_001343,-28.5965999875645,153.2233,AU,-49.0596552822284,-42.8673813990556,Humid subtropical
AU_001348,-29.2822999878511,152.9886,AU,-50.1970269356817,-45.1094166836214,Humid subtropical
AU_001349,-28.3671999874721,153.1689,AU,-36.395738390056,-28.7913342434092,Humid subtropical
AU_001350,-28.4737999875148,153.0861,AU,-35.7058873964557,-27.9423486606182,Humid subtropical
AU_001352,-28.4658999875116,153.2631,AU,-32.5075841974676,-26.0797961988491,Humid subtropical
AU_001353,-28.8520999876695,153.4556,AU,-60.0748212805169,-57.5643540973968,Humid subtropical
AU_001355,-28.339499987461,153.3809,AU,-47.6962327621661,-42.6688651914329,Humid subtropical
AU_001359,-30.8140999885398,152.5129,AU,-46.7455668641132,-42.2468678220386,Humid subtropical
AU_001361,-31.0769999886637,152.8235,AU,-47.4446171647206,-44.5530330976421,Humid subtropical
AU_001362,-30.3075999883054,152.9874,AU,-53.943037851359,-53.2492084799636,Humid subtropical
AU_001363,-30.3106999883068,153.1187,AU,-51.8275929490144,-47.8772043616253,Humid subtropical
AU_001365,-30.3438999883221,152.7128,AU,-54.9007179520759,-54.5740334324041,Humid subtropical
AU_001369,-31.8907999890559,152.4709,AU,-50.4880643910667,-49.1541175109035,Humid subtropical
