station_id,lat,lon,country,years,location,scale,shape,index,rp10,rp30,rp100,kg,cluster,distance,n_gauges,record_len,start,end,rp10_vs_PXR2,rp30_vs_PXR2,rp100_vs_PXR2
JP_000586,37.28999999,140.22,JP,518,0.830363105,0.269554521,0.050236031,30.4,44.7,55.4,67.6,Humid subtropical,190,80,16,30.39938,08/08/1978 16:00,01/01/2009 00:00,-43.55147878,NA,-42.34061915
JP_000588,37.28999999,140.63,JP,518,0.830363105,0.269554521,0.050236031,32.1,47.2,58.5,71.3,Humid subtropical,190,80,16,33.00194,01/01/1976 02:00,01/01/2009 00:00,-23.03761162,NA,-20.295348
JP_000589,37.20999999,140.75,JP,518,0.830363105,0.269554521,0.050236031,34.1,50.3,62.3,76,Humid subtropical,190,80,16,30.36117,22/08/1978 15:00,01/01/2009 00:00,-28.21433368,NA,-25.53416487
JP_000591,37.19999999,139.77,JP,700,0.827506449,0.288529673,0.02045632,29.7,44.3,54.6,66,Humid continental,191,80,24,32.11864,18/11/1976 17:00,01/01/2009 00:00,-39.0277669,NA,-35.65562905
JP_000593,37.11999999,140.22,JP,700,0.827506449,0.288529673,0.02045632,29.1,43.4,53.5,64.6,Humid continental,191,80,24,18.08624,01/01/1976 01:00,01/02/1994 00:00,NA,NA,NA
JP_000595,37.14999999,140.46,JP,518,0.830363105,0.269554521,0.050236031,29.1,42.9,53.1,64.8,Humid subtropical,190,80,16,32.71047,16/04/1976 13:00,01/01/2009 00:00,-21.92079581,NA,-19.08747596
JP_000596,37.01999999,139.38,JP,700,0.827506449,0.288529673,0.02045632,21.2,31.6,38.9,47,Humid continental,191,80,24,30.1694,31/10/1978 16:00,01/01/2009 00:00,-30.70229578,NA,-28.49117747
JP_000597,37.08999999,139.53,JP,700,0.827506449,0.288529673,0.02045632,25.6,38.1,47,56.7,Humid continental,191,80,24,30.39653,09/08/1978 17:00,01/01/2009 00:00,NA,NA,NA
JP_000600,37.00999999,140.74,JP,518,0.830363105,0.269554521,0.050236031,33,48.6,60.2,73.4,Humid subtropical,190,80,16,32.0883,29/11/1976 19:00,01/01/2009 00:00,NA,NA,NA
JP_000601,37.05999999,140.88,JP,518,0.830363105,0.269554521,0.050236031,30.8,45.3,56.2,68.5,Humid subtropical,190,80,16,32.71583,14/04/1976 14:00,01/01/2009 00:00,-31.76164585,NA,-28.01607999
JP_000603,36.93999999,140.41,JP,700,0.827506449,0.288529673,0.02045632,33.9,50.6,62.3,75.3,Humid subtropical,191,80,24,32.71013,16/04/1976 16:00,01/01/2009 00:00,-30.07284273,NA,-32.47960371
JP_000604,36.94999999,140.9,JP,518,0.830363105,0.269554521,0.050236031,29.8,43.9,54.4,66.4,Humid subtropical,190,80,16,33.00205,01/01/1976 01:00,01/01/2009 00:00,-26.55181926,NA,-27.38625779
JP_000605,36.86999999,140.64,JP,187,0.858926947,0.278252007,-0.075874277,42.3,60.7,71.5,82.1,Humid subtropical,192,40,6,33.00205,01/01/1976 01:00,01/01/2009 00:00,NA,NA,NA
JP_000606,36.83999999,140.77,JP,187,0.858926947,0.278252007,-0.075874277,31,44.5,52.4,60.2,Humid subtropical,192,40,6,33.00205,01/01/1976 01:00,01/01/2009 00:00,-28.45283099,NA,-29.16498059
JP_000607,36.77999999,140.34,JP,187,0.858926947,0.278252007,-0.075874277,38.2,54.7,64.5,74,Humid subtropical,192,40,6,32.76797,26/03/1976 13:00,01/01/2009 00:00,-42.39480877,NA,-44.30932273
JP_000608,36.77999999,140.48,JP,187,0.858926947,0.278252007,-0.075874277,31,44.4,52.3,60.1,Humid subtropical,192,40,6,31.46475,15/07/1977 13:00,01/01/2009 00:00,-44.24908138,NA,-42.63678249
JP_000609,36.73999999,140.59,JP,187,0.858926947,0.278252007,-0.075874277,40.4,57.9,68.2,78.3,Humid subtropical,192,40,6,23.57404,05/06/1985 15:00,01/01/2009 00:00,NA,NA,NA
JP_000610,36.60999999,140.32,JP,462,0.823778844,0.266274702,0.079227041,37.3,55.1,69.2,85.8,Humid subtropical,196,80,15,30.03251,20/12/1978 16:00,01/01/2009 00:00,-38.6239887,NA,-36.78670932
JP_000612,36.50999999,140.48,JP,345,0.850617831,0.285724402,-0.057891436,31.1,45.1,53.7,62.3,Humid subtropical,195,40,12,31.47034,13/07/1977 12:00,01/01/2009 00:00,-36.01123435,NA,-34.68845208
JP_000613,36.59999999,140.65,JP,187,0.858926947,0.278252007,-0.075874277,34.3,49.2,58,66.5,Humid subtropical,192,40,6,33.00205,01/01/1976 01:00,01/01/2009 00:00,-29.19146421,NA,-27.13992085
JP_000614,36.32999999,140.03,JP,345,0.850617831,0.285724402,-0.057891436,31.5,45.8,54.5,63.1,Humid subtropical,195,40,12,26.52567,23/06/1982 13:00,01/01/2009 00:00,NA,NA,NA
JP_000617,36.19999999,139.72,JP,728,0.836307684,0.287850637,-0.008708115,33.3,49.2,59.8,71.1,Humid subtropical,199,60,23,32.80618,12/03/1976 14:00,01/01/2009 00:00,NA,NA,NA
JP_000619,36.22999999,140.19,JP,345,0.850617831,0.285724402,-0.057891436,30.2,43.9,52.2,60.5,Humid subtropical,195,40,12,32.77892,22/03/1976 13:00,01/01/2009 00:00,-27.19777123,NA,-26.27899244
JP_000621,36.22999999,140.1,JP,345,0.850617831,0.285724402,-0.057891436,23.6,34.2,40.7,47.2,Humid subtropical,195,40,12,19.91513,01/02/1982 01:00,01/01/2002 00:00,NA,NA,NA
JP_000623,36.23999999,140.32,JP,345,0.850617831,0.285724402,-0.057891436,28.5,41.4,49.2,57.1,Humid subtropical,195,40,12,33.00205,01/01/1976 01:00,01/01/2009 00:00,NA,NA,NA
JP_000624,36.16999999,139.95,JP,345,0.850617831,0.285724402,-0.057891436,33.5,48.7,57.9,67.1,Humid subtropical,195,40,12,33.00205,01/01/1976 01:00,01/01/2009 00:00,-26.37570822,NA,-23.60407685
JP_000625,36.16999999,140.53,JP,345,0.850617831,0.285724402,-0.057891436,31,45,53.5,62.1,Humid subtropical,195,40,12,30.91729,31/01/1978 12:00,01/01/2009 00:00,-20.17126856,NA,-16.21838948
JP_000626,36.02999999,139.89,JP,462,0.823778844,0.266274702,0.079227041,31.2,46.1,57.9,71.7,Humid subtropical,196,80,15,32.78702,19/03/1976 14:00,01/01/2009 00:00,-37.20609882,NA,-35.3105972
JP_000627,36.05999999,140.13,JP,345,0.850617831,0.285724402,-0.057891436,35.9,52.2,62.1,72,Humid subtropical,195,40,12,18.80162,14/03/1990 18:00,01/01/2009 00:00,NA,NA,NA
JP_000628,36.08999999,140.21,JP,345,0.850617831,0.285724402,-0.057891436,27.4,39.8,47.4,54.9,Humid subtropical,195,40,12,32.79786,15/03/1976 15:00,01/01/2009 00:00,-31.97727642,NA,-33.52294728
JP_000629,35.95999999,140.32,JP,345,0.850617831,0.285724402,-0.057891436,30.4,44.2,52.5,60.9,Humid subtropical,195,40,12,32.78964,18/03/1976 15:00,01/01/2009 00:00,-22.07642163,NA,-22.98880266
JP_000630,35.95999999,140.62,JP,462,0.823778844,0.266274702,0.079227041,32.5,48.1,60.3,74.8,Humid subtropical,196,80,15,33.00205,01/01/1976 01:00,01/01/2009 00:00,-39.6138852,NA,-39.7253998
JP_000631,35.88999999,140.21,JP,462,0.823778844,0.266274702,0.079227041,31.1,46,57.7,71.6,Humid subtropical,196,80,15,32.79523,16/03/1976 14:00,01/01/2009 00:00,-35.01069388,NA,-36.27594624
JP_000632,37.11999999,140.03,JP,700,0.827506449,0.288529673,0.02045632,33.8,50.5,62.2,75.1,Humid continental,191,80,24,33.00205,01/01/1976 01:00,01/01/2009 00:00,-38.99838211,NA,-43.69007016
JP_000634,36.91999999,139.69,JP,700,0.827506449,0.288529673,0.02045632,31.4,46.8,57.7,69.6,Humid continental,191,80,24,33.00205,01/01/1976 01:00,01/01/2009 00:00,-37.15702777,NA,-39.54511584
JP_000636,36.97999999,140.02,JP,700,0.827506449,0.288529673,0.02045632,43.1,64.3,79.3,95.7,Humid continental,191,80,24,32.71869,13/04/1976 13:00,01/01/2009 00:00,-34.78115506,NA,-37.00841078
JP_000638,36.88999999,139.57,JP,700,0.827506449,0.288529673,0.02045632,31.1,46.4,57.2,69,Humid continental,191,80,24,31.14134,10/11/1977 16:00,01/01/2009 00:00,-45.51084746,NA,-48.01787584
JP_000639,36.83999999,140.03,JP,700,0.827506449,0.288529673,0.02045632,38.2,57.1,70.3,84.9,Humid continental,191,80,24,33.00205,01/01/1976 01:00,01/01/2009 00:00,-39.85489373,NA,-43.51542021
JP_000640,36.73999999,139.5,JP,272,0.855731893,0.256749311,-0.015705017,37.2,52.9,63.3,74.2,Humid continental,197,40,9,33.00205,01/01/1976 01:00,01/01/2009 00:00,-24.00989243,NA,-24.96271091
