"","X","station_id","lat","lon","country","years","location","scale","shape","rp10","rp30","rp100","kg","cluster","distance","n_gauges","record_len","start","end"
"1",1,"US_004672",39.8732699931007,-75.22678,"US",112,68.788060560361,21.018262727818,0.0043119405573948,116.317097166729,140.441595412682,166.440499736383,"Humid subtropical",NA,NA,NA,NA,NA,NA
"2",2,"US_003702",35.595399990941,-82.5568,"US",109,57.9414496052499,16.0561122961798,0.0884987433856071,97.9227744892723,121.294486189267,149.102546327458,"Humid subtropical",NA,NA,NA,NA,NA,NA
"3",3,"US_004682",40.484599993392,-80.2144,"US",107,47.516560009926,11.5573255129503,0.097417873921133,76.5958907939652,93.8486697117489,114.592835723239,"Humid continental",NA,NA,NA,NA,NA,NA
"4",4,"AU_001864",-42.8896999944723,147.3278,"AU",102,43.7475682142559,18.6581850193248,0.0507216765052858,88.2254657355284,112.635870710058,140.417719504115,"Oceanic",NA,NA,NA,NA,NA,NA
"5",5,"AU_001461",-33.8606999900455,151.205,"AU",100,96.3928526420054,33.4626907820537,0.112129100478607,182.049083073998,234.124675646667,297.831837794786,"Oceanic",NA,NA,NA,NA,NA,NA
"6",6,"IE_000031",53.4279999976471,-6.241,"IE",77,35.5663619844895,9.0097273035144,0.159814691872295,59.9668371575966,76.0152605427695,96.7817486017772,"Oceanic",NA,NA,NA,NA,NA,NA
"7",7,"US_000684",38.555199992454,-121.4183,"US",71,44.7743610378041,14.9950584518383,0.0870983180303599,82.0528322705674,103.793810122973,129.6190179774,"Mediterranean",NA,NA,NA,NA,NA,NA
"8",8,"US_005569",33.978599990106,-98.4928,"US",71,72.9210920270637,25.226601836589,-0.0186230936084855,128.517094740544,155.660583840187,184.135404780352,"Humid subtropical",NA,NA,NA,NA,NA,NA
"9",9,"AU_000904",-16.8735999863392,145.7458,"AU",70,156.158508473572,65.8609629025417,-0.009921149272858,302.727611576281,375.350997198381,452.319158346304,"Tropical",NA,NA,NA,NA,NA,NA
"10",10,"US_001051",29.1827999878086,-81.0483,"US",70,89.67016433779,27.0080933415656,0.135590009438362,160.740495805002,205.657221342082,262.144838649022,"Humid subtropical",NA,NA,NA,NA,NA,NA
"11",11,"US_005028",32.4104999893122,-99.6822,"US",70,61.7690222569987,19.2549591224216,0.144603911621253,112.981150344848,145.831838730706,187.585807727044,"Humid subtropical",NA,NA,NA,NA,NA,NA
"12",12,"US_005041",35.2294999907515,-101.7042,"US",70,52.8138757456398,21.5979063852797,0.130776455222862,109.325338913431,144.758211733151,189.067110945503,"Arid cold",NA,NA,NA,NA,NA,NA
"13",13,"US_005472",29.5442999879645,-98.4839,"US",70,81.531704192842,35.460506959415,0.0803893768051111,169.004611712119,219.452265935147,278.905924854585,"Humid subtropical",NA,NA,NA,NA,NA,NA
"14",14,"US_005555",31.6188899889235,-97.22833,"US",70,74.592435889778,24.7995635655314,0.0047184688240845,130.697908356401,159.195161781928,189.921245127558,"Humid subtropical",NA,NA,NA,NA,NA,NA
"15",15,"AU_001806",-41.5396999938797,147.2033,"AU",69,35.8444562146654,10.2853627869985,0.0025247787183441,59.0561789226725,70.8022904317563,83.434488781164,"Oceanic",NA,NA,NA,NA,NA,NA
"16",16,"US_005097",25.9140999866102,-97.423,"US",69,82.4866156574995,31.8389733232257,0.0807461689647387,161.05852253437,206.399719671919,259.857736836659,"Humid subtropical",NA,NA,NA,NA,NA,NA
"17",17,"US_005051",30.3207999883115,-97.7604,"US",68,78.1515234020505,28.782025619682,0.0274779861376117,144.966124474404,180.23119914631,219.285113836287,"Humid subtropical",NA,NA,NA,NA,NA,NA
"18",18,"AU_000870",-17.9474999860801,122.2353,"AU",67,75.2063466462867,44.5687623033659,0.221224672492791,205.182441309328,299.68282436316,431.138695710804,"Arid hot",NA,NA,NA,NA,NA,NA
"19",19,"AU_001301",-31.0260999886396,150.2687,"AU",66,53.8357281340462,20.5079245222436,0.0834719530384106,104.605233178477,134.03597357226,168.846728191967,"Humid subtropical",NA,NA,NA,NA,NA,NA
"20",20,"AU_001504",-35.3048999907905,149.2014,"AU",66,47.2393353133918,13.7867813258705,-0.0680211242499379,76.006757393039,88.91682044535,101.696893088168,"Oceanic",NA,NA,NA,NA,NA,NA
"21",21,"NL_000008",52.0999999973876,5.18,"NL",66,32.6220676126787,8.38138324485052,0.131914402513724,54.5816471968707,68.376265879941,85.6495919770228,"Oceanic",NA,NA,NA,NA,NA,NA
"22",22,"US_005208",31.811109989017,-106.3758,"US",66,30.8393837460941,12.5713566343424,-0.0932586930179923,56.3581913375632,67.3245603324477,77.863685281511,"Arid cold",NA,NA,NA,NA,NA,NA
"23",23,"US_000163",32.131299989174,-110.9552,"US",64,33.2837513190872,11.5352743488361,0.0827925866414059,61.818024987167,78.3404404363851,97.8675853410168,"Arid hot",NA,NA,NA,NA,NA,NA
"24",24,"US_000698",37.6196999919824,-122.3647,"US",64,47.6143753747024,13.6759569973905,0.0787655080806505,81.2863942466754,100.653327861394,123.434129243388,"Mediterranean",NA,NA,NA,NA,NA,NA
"25",25,"US_000888",39.134199992741,-108.54,"US",64,18.8769518680337,4.53420422409317,0.0712010696066175,29.9434993917196,36.2287463260808,43.556431181513,"Arid cold",NA,NA,NA,NA,NA,NA
"26",26,"US_000990",41.1642199937085,-73.12669,"US",64,65.4926614331547,19.2864777522596,0.159804290118963,117.72436262614,152.077059962862,196.528538138883,"Humid continental",NA,NA,NA,NA,NA,NA
