,lat,lon,country,rp10,rp100,kg
AU_000495,-32.9341999895744,117.1797,AU,18.0678104389403,-5.74033822694975,Mediterranean
AU_000513,-30.784699988526,121.4533,AU,10.5402408780657,-7.82804285679568,Arid hot
AU_000518,-25.0340999863663,128.301,AU,4.85612836736802,-1.7153878761837,Arid hot
AU_000522,-12.4238999883292,130.8925,AU,-32.2147745508774,-38.4847363078885,Tropical
AU_000617,-13.7378999875893,130.6834,AU,17.548746099537,21.3133850448249,Tropical
AU_000628,-18.6369999859586,135.945,AU,-29.4845136690352,-37.5479575762917,Arid hot
AU_000631,-19.6422999858433,134.1833,AU,-42.387698561929,-49.5800296671074,Arid hot
AU_000652,-22.9493999859521,136.1442,AU,3.1243628843656,-2.88877353782524,Arid hot
AU_000670,-31.1557999887011,136.8054,AU,11.4647022378728,-5.11682016034917,Arid hot
AU_000672,-32.5225999893681,136.4926,AU,16.3656311009475,-17.2227281130177,Arid cold
AU_000695,-32.1296999891732,133.6976,AU,7.40126843487944,-28.3982562924927,Arid cold
AU_000701,-33.7080999899674,136.5026,AU,3.4346538834546,-15.7887306551224,Arid cold
AU_000722,-29.0388999877477,167.9408,AU,-22.1037891223279,-29.4141981265752,Humid subtropical
AU_000734,-18.2291999860263,127.6636,AU,-27.9219467354617,-33.7325978667168,Arid hot
AU_000757,-33.20249998971,138.6024,AU,15.5886629383569,12.9991270234592,Mediterranean
AU_000777,-34.7976999905281,138.6281,AU,-13.1073102858171,-31.6547123578646,Arid cold
AU_000780,-34.952399990608,138.5204,AU,11.7526378054671,10.2767357804551,Mediterranean
AU_000783,-34.7110999904833,138.6222,AU,-17.2893113950559,-35.0668068997564,Arid cold
AU_000784,-34.9210999905918,138.6216,AU,5.37748732663176,4.01989970780516,Mediterranean
AU_000789,-34.5518999904011,138.8342,AU,7.46217267200405,-0.943213419729809,Mediterranean
AU_000799,-35.4122999908462,138.5751,AU,-13.0724852699347,-12.3603621374873,Mediterranean
AU_000800,-35.4427999908619,138.5444,AU,-14.1293547499355,-13.5262996700263,Mediterranean
AU_000835,-36.0581999911805,139.5913,AU,12.0681404082892,-10.7074363381698,Mediterranean
AU_000844,-13.7641999875758,143.1178,AU,-33.5366977918717,-38.5482836923096,Tropical
AU_000845,-10.585299989568,142.21,AU,-40.9725683797802,-39.9713484770133,Tropical
AU_000846,-12.6266999882069,141.8836,AU,-36.1115011495014,-40.2149964910846,Tropical
AU_000850,-15.558099986774,144.4453,AU,-37.117531336493,-38.3314224894107,Tropical
AU_000851,-16.0007999866132,144.0758,AU,-22.9692387751807,-25.6080988232881,Tropical
AU_000855,-17.6705999861387,141.0672,AU,-25.1826870906025,-30.4962384202626,Tropical
AU_000864,-20.677799985799,139.4875,AU,-25.1507307856714,-34.4853714062448,Arid hot
AU_000869,-18.292199986015,143.5483,AU,-25.7703008701748,-27.6998556185558,Tropical
AU_000870,-17.9474999860801,122.2353,AU,-20.4292816106571,-28.8076501991321,Arid hot
AU_000873,-20.7288999857987,143.1425,AU,-28.3216512576147,-31.9007775793293,Arid hot
AU_000877,-18.6835999859516,144.7446,AU,-37.7904875045412,-40.4754399664957,Arid hot
AU_000879,-19.7036999858386,144.3775,AU,-26.798163018081,-32.131011869795,Arid hot
AU_000888,-17.1535999862634,144.5236,AU,-16.639675553498,-10.3177069784071,Tropical
AU_000904,-16.8735999863392,145.7458,AU,-34.8363686196243,-31.2654356691985,Tropical
AU_000907,-17.2185999862466,145.565,AU,-18.3193100968739,-16.7261440925344,Tropical
AU_000908,-17.6769999861373,145.115,AU,-31.4987774914942,-29.0198329486525,Tropical
AU_000909,-17.606899986153,145.4811,AU,-24.4844541109494,-23.15872455167,Tropical
AU_000911,-16.9949999863056,145.4253,AU,-17.153845205686,-17.198048010225,Tropical
AU_000912,-17.8399999861022,145.5956,AU,-21.8016471541971,-19.7972136010935,Tropical
AU_000925,-17.6052999861533,145.9972,AU,-38.1592031208015,-35.6773862645981,Tropical
AU_000926,-19.2482999858799,146.7661,AU,-26.2287346225408,-27.6303840977129,Tropical
AU_000927,-17.9363999860823,145.9253,AU,-40.9731913224495,-36.8178838570456,Tropical
AU_000928,-18.7216999859461,145.9239,AU,-28.7611507958175,-31.4421725029691,Tropical
AU_000932,-19.164799985889,145.4199,AU,-20.2763015671183,-28.4643346202849,Arid hot
AU_000934,-18.6493999859568,146.1769,AU,-35.7627553478145,-36.6463761982257,Tropical
AU_000940,-19.6168999858453,147.3758,AU,-22.8508002077418,-24.2971947696766,Tropical
AU_000942,-20.5532999858004,147.8464,AU,-17.0059614923644,-22.7204414477038,Arid hot
AU_000950,-21.5285999858173,149.0006,AU,-1.71410996586455,-6.31912183923646,Tropical
AU_000954,-21.1171999858024,149.2169,AU,-31.4744661079974,-34.883343442121,Tropical
AU_000962,-21.2041999858046,148.5436,AU,-23.723919546595,-29.6451264996043,Tropical
AU_000984,-23.649999986064,146.6406,AU,-16.4578227877987,-31.2045336095014,Arid hot
AU_000985,-22.6521999859135,147.5583,AU,-25.5044824426767,-29.6215025257507,Arid hot
AU_000986,-23.6454999860632,149.3308,AU,11.8014379011444,7.00071866027172,Arid hot
AU_000987,-26.3563999867468,150.0463,AU,-10.0191162499063,-26.7003911070423,Humid subtropical
AU_000991,-24.1229999861555,148.0856,AU,-14.5670434744683,-17.1465057368431,Arid hot
AU_000994,-25.6407999865304,149.7958,AU,-15.1771970428164,-19.7256953849801,Humid subtropical
AU_000995,-24.9585999863471,148.3744,AU,-20.3361383528761,-28.3878984104288,Arid hot
AU_001004,-22.4268999858878,147.5483,AU,-26.1637341018866,-28.3406608589773,Arid hot
AU_001006,-24.2590999861842,144.4406,AU,21.5520430256026,7.55432298761467,Arid hot
AU_001010,-21.6290999858226,145.1166,AU,-21.2669157571611,-22.0760873183011,Arid hot
AU_001015,-22.9116999859469,139.9039,AU,-6.9093852820232,-10.8893842458298,Arid hot
AU_001017,-25.4199999864685,142.6594,AU,-7.50925322199781,-21.9754197522889,Arid hot
AU_001019,-24.3788999862102,150.5164,AU,-14.7940173264099,-20.2050243609991,Humid subtropical
AU_001024,-23.6285999860601,150.3867,AU,-1.19763947733755,-4.09349240464992,Humid subtropical
AU_001025,-25.1693999864013,151.6375,AU,-4.40237521099913,-11.6302218751779,Humid subtropical
AU_001026,-23.3752999860167,150.4775,AU,7.55833919319778,5.23063432245822,Humid subtropical
AU_001028,-24.950299986345,150.0725,AU,-11.8443431719827,-17.897659187231,Humid subtropical
AU_001031,-23.8552999861022,151.2628,AU,-13.0977061956516,-17.830830066261,Humid subtropical
AU_001032,-24.9068999863342,152.323,AU,-27.2106313800986,-33.1220477466704,Humid subtropical
AU_001050,-27.6296999871876,152.7111,AU,-10.5090220350245,-19.5221900480389,Humid subtropical
AU_001052,-28.0205999873359,153.0131,AU,16.1645487530492,7.88002045904201,Oceanic
AU_001056,-26.4180999867666,152.9128,AU,-41.0323769578224,-47.3931571746332,Humid subtropical
AU_001061,-27.5435999871557,152.3375,AU,-15.6561642848036,-24.4410018933865,Humid subtropical
AU_001062,-26.1830999866922,152.6414,AU,-17.9185786217475,-25.4859850579549,Humid subtropical
AU_001063,-27.8105999872555,152.6653,AU,-2.4561328712677,-12.2593794871964,Humid subtropical
AU_001066,-26.5955999868244,152.7281,AU,-29.5441863174847,-36.0266581869657,Humid subtropical
AU_001067,-26.0857999866622,152.2381,AU,-12.9717803887266,-20.7494428449046,Humid subtropical
AU_001068,-26.5543999868108,151.8456,AU,-18.0628718455079,-25.2195017152703,Humid subtropical
AU_001071,-25.5160999864952,152.7156,AU,-17.6973293500752,-26.9509546049142,Humid subtropical
AU_001073,-28.0301999873396,152.5529,AU,-5.2912932507741,-15.8499975241886,Humid subtropical
AU_001076,-26.2421999867107,151.9425,AU,-13.9724506169349,-22.7127328570883,Humid subtropical
AU_001079,-28.2110999874102,152.865,AU,4.63814049291021,-5.41748961011973,Humid subtropical
