station_id,lat,lon,country,years,location,scale,shape,index,rp10,rp30,rp100,kg,cluster,distance,n_gauges,record_len,start,end
AU_000038,-31.9557999890877,115.7619,AU,135,0.858313040949533,0.239960409806941,0.0132277434919353,30.6,43.0,51.6,61.0,Mediterranean,147.0,1000.0,5.0,20.28314,1995-05-09 01:00:00,2015-08-20 10:00:00
AU_000039,-31.9191999890698,115.8728,AU,135,0.858313040949533,0.239960409806941,0.0132277434919353,31.1,43.7,52.5,62.1,Mediterranean,147.0,1000.0,5.0,21.58362,1994-01-19 01:00:00,2015-08-20 10:00:00
AU_000420,-37.9799999921651,145.0962,AU,314,0.835170613532874,0.244684346249216,0.0893832967959271,27.2,39.3,49.0,60.6,Oceanic,120.0,60.0,10.0,17.83482,1997-10-19 06:00:00,2015-08-20 09:00:00
AU_000468,-31.4755999888542,118.2789,AU,539,0.785977462724679,0.279337339495194,0.161955378459848,21.6,33.3,44.2,58.2,Arid cold,8.0,540.0,14.0,49.57598,1966-01-02 10:00:00,2015-08-01 00:00:00
AU_000469,-31.4993999888657,118.2242,AU,539,0.785977462724679,0.279337339495194,0.161955378459848,20.4,31.6,41.8,55.1,Arid cold,8.0,540.0,14.0,22.05784,1963-03-11 10:00:00,1985-04-01 00:00:00
AU_000470,-14.7882999870887,126.4964,AU,433,0.784796574137475,0.345492345606194,0.0442888941751349,67.9,108.8,139.0,173.0,Tropical,25.0,800.0,14.0,17.99738,1997-09-01 12:00:00,2015-09-01 00:00:00
AU_000475,-16.4180999864751,126.1025,AU,433,0.784796574137475,0.345492345606194,0.0442888941751349,62.7,100.5,128.3,159.8,Tropical,25.0,800.0,14.0,21.78029,1993-11-19 19:00:00,2015-09-01 00:00:00
AU_000480,-15.379699986843,126.3114,AU,433,0.784796574137475,0.345492345606194,0.0442888941751349,59.3,95.0,121.4,151.1,Tropical,25.0,800.0,14.0,18.74857,1996-12-01 03:00:00,2015-09-01 00:00:00
AU_000495,-32.9341999895744,117.1797,AU,539,0.785977462724679,0.279337339495194,0.161955378459848,19.8,30.6,40.5,53.3,Mediterranean,8.0,540.0,14.0,41.76181,1963-08-27 13:00:00,2005-06-01 00:00:00
AU_000497,-33.9643999900987,118.4889,AU,539,0.785977462724679,0.279337339495194,0.161955378459848,19.7,30.4,40.2,53.0,Arid cold,8.0,540.0,14.0,47.33333,1968-05-01 13:00:00,2015-09-01 00:00:00
AU_000501,-32.1177999891674,116.8678,AU,539,0.785977462724679,0.279337339495194,0.161955378459848,20.6,31.7,42.0,55.4,Mediterranean,8.0,540.0,14.0,54.65959,1960-08-02 15:00:00,2015-04-01 00:00:00
AU_000513,-30.784699988526,121.4533,AU,539,0.785977462724679,0.279337339495194,0.161955378459848,23.5,36.3,48.0,63.2,Arid hot,8.0,540.0,14.0,76.32752,1939-04-03 10:00:00,2015-08-01 00:00:00
AU_000514,-28.8877999876844,121.3295,AU,539,0.785977462724679,0.279337339495194,0.161955378459848,23.6,36.4,48.2,63.5,Arid hot,8.0,540.0,14.0,51.42562,1963-02-26 20:00:00,2014-08-01 00:00:00
AU_000518,-25.0340999863663,128.301,AU,699,0.770623692721365,0.372984076990203,0.0368787384121533,29.3,48.3,62.0,77.5,Arid hot,35.0,760.0,27.0,58.57906,1956-10-01 01:00:00,2015-05-01 00:00:00
AU_000522,-12.4238999883292,130.8925,AU,262,0.844363111532705,0.253129179192264,0.0367612869944162,80.8,116.2,141.9,170.7,Tropical,108.0,1000.0,12.0,61.45003,1953-09-17 10:00:00,2015-03-01 00:00:00
AU_000551,-11.1537999891604,132.143,AU,262,0.844363111532705,0.253129179192264,0.0367612869944162,76.7,110.4,134.8,162.2,Tropical,108.0,1000.0,12.0,18.38672,1996-10-10 07:00:00,2015-03-01 00:00:00
AU_000560,-13.1671999878953,130.1226,AU,262,0.844363111532705,0.253129179192264,0.0367612869944162,75.1,108.0,131.8,158.6,Tropical,108.0,1000.0,12.0,18.24492,1997-01-01 02:00:00,2015-04-01 00:00:00
AU_000580,-15.5747999867677,133.2137,AU,262,0.844363111532705,0.253129179192264,0.0367612869944162,75.9,109.2,133.4,160.5,Arid hot,108.0,1000.0,12.0,18.57906,1996-10-01 01:00:00,2015-05-01 00:00:00
