,station_id,lat,lon,country,years,location,scale,shape,index,rp10,rp30,rp100,kg,cluster,distance,n_gauges,record_len,start,end,rp10_vs_PXR2,rp100_vs_PXR2
163,AU_001015,-22.91169999,139.9039,AU,569,0.779194228,0.35252465,0.047501629,22.2,35.9,46.1,57.6,Arid hot,125,760,16,50.47673,10/07/1964 10:00,01/01/2015 00:00,-28.21761176,-22.45344858
164,AU_001017,-25.41999999,142.6594,AU,569,0.779194228,0.35252465,0.047501629,22.2,35.8,45.9,57.4,Arid hot,125,760,16,49.57358,03/10/1964 07:00,01/05/2014 00:00,-42.75629608,-40.0467867
165,AU_001019,-24.37889999,150.5164,AU,839,0.836889134,0.279001709,0.007438303,35.1,51.7,63,75.3,Humid subtropical,10,280,25,58.56982,05/11/1937 10:00,01/06/1996 00:00,-50.45013378,-43.63529756
166,AU_001022,-24.04279999,150.8211,AU,839,0.836889134,0.279001709,0.007438303,39.9,58.7,71.6,85.5,Humid subtropical,10,280,25,19.69005,24/04/1975 06:00,01/01/1995 00:00,NA,NA
167,AU_001024,-23.62859999,150.3867,AU,839,0.836889134,0.279001709,0.007438303,38.8,57.1,69.6,83.2,Humid subtropical,10,280,25,42.25633,26/11/1972 22:00,01/03/2015 00:00,-51.08529984,-49.35586878
168,AU_001025,-25.16939999,151.6375,AU,839,0.836889134,0.279001709,0.007438303,32.2,47.3,57.7,68.9,Humid subtropical,10,280,25,39.75086,01/07/1974 01:00,01/04/2014 00:00,-59.24473147,-60.34058884
169,AU_001026,-23.37529999,150.4775,AU,839,0.836889134,0.279001709,0.007438303,34.3,50.5,61.6,73.5,Humid subtropical,10,280,25,75.74812,01/11/1939 01:00,01/08/2015 00:00,-39.48588887,-34.87967934
170,AU_001027,-24.49349999,150.5709,AU,839,0.836889134,0.279001709,0.007438303,41.7,61.3,74.8,89.4,Arid hot,10,280,25,17.47935,07/10/1997 17:00,01/04/2015 00:00,NA,NA
171,AU_001028,-24.95029999,150.0725,AU,839,0.836889134,0.279001709,0.007438303,32.4,47.7,58.2,69.5,Humid subtropical,10,280,25,38.99213,04/08/1951 04:00,01/08/1990 00:00,-44.62716406,-42.287662
172,AU_001031,-23.85529999,151.2628,AU,839,0.836889134,0.279001709,0.007438303,38,55.9,68.2,81.5,Humid subtropical,10,280,25,53.3306,01/12/1961 01:00,01/04/2015 00:00,-47.31827779,-40.29006855
173,AU_001032,-24.90689999,152.323,AU,839,0.836889134,0.279001709,0.007438303,39.4,58,70.7,84.5,Humid subtropical,10,280,25,51.24606,01/01/1964 10:00,01/04/2015 00:00,-41.14760384,-32.44590351
174,AU_001033,-24.53329999,151.3833,AU,839,0.836889134,0.279001709,0.007438303,37.5,55.2,67.3,80.4,Humid subtropical,10,280,25,18.12126,18/03/1966 06:00,01/05/1984 00:00,NA,NA
175,AU_001035,-25.68749999,150.8689,AU,839,0.836889134,0.279001709,0.007438303,32,47.1,57.4,68.6,Humid subtropical,10,280,25,28.0681,06/11/1969 04:00,01/12/1997 00:00,NA,NA
176,AU_001037,-24.52719999,151.3814,AU,839,0.836889134,0.279001709,0.007438303,38.7,56.9,69.4,82.9,Humid subtropical,10,280,25,30.98494,05/04/1984 19:00,01/04/2015 00:00,NA,NA
177,AU_001038,-25.25579999,152.2819,AU,839,0.836889134,0.279001709,0.007438303,36.6,53.8,65.6,78.4,Humid subtropical,10,280,25,35.49977,30/08/1979 18:00,01/03/2015 00:00,-39.58357959,-33.00196998
178,AU_001041,-24.02129999,150.9603,AU,839,0.836889134,0.279001709,0.007438303,38.5,56.6,69.1,82.5,Humid subtropical,10,280,25,20.27139,21/11/1994 22:00,01/03/2015 00:00,NA,NA
179,AU_001050,-27.62969999,152.7111,AU,342,0.814939064,0.280556285,0.077332895,33.6,50.6,63.9,79.5,Humid subtropical,107,60,10,53.33607,01/10/1961 01:00,01/02/2015 00:00,-34.73664177,-24.14135963
180,AU_001052,-28.02059999,153.0131,AU,1117,0.834948484,0.285052462,0.001822803,30.8,45.5,55.5,66.3,Oceanic,120,160,33,46.26226,25/11/1967 18:00,01/03/2014 00:00,-41.90998697,-34.62797376
181,AU_001056,-26.41809999,152.9128,AU,877,0.828163013,0.283189709,0.029100474,47.7,70.9,87.6,106,Humid subtropical,117,140,25,41.00114,01/12/1971 09:00,01/12/2012 00:00,-42.31094285,-35.05739974
182,AU_001058,-27.19669999,152.8244,AU,877,0.828163013,0.283189709,0.029100474,36.2,53.8,66.4,80.4,Humid subtropical,117,140,25,29.29592,14/04/1969 17:00,01/08/1998 00:00,NA,NA
183,AU_001060,-27.15329999,152.1683,AU,342,0.814939064,0.280556285,0.077332895,34.1,51.3,64.7,80.6,Humid subtropical,107,60,10,17.51335,26/02/1972 07:00,01/09/1989 00:00,NA,NA
