station_id,lat,lon,country,years,location,scale,shape,index,rp10,rp30,rp100,kg,cluster,distance,n_gauges,record_len,start,end
JP_000109,43.0099999945233,141.69,JP,789,0.8043116,0.2937233,0.08305382,55.7,85.2,108.6,136.4,Humid continental,289.0,60.0,27.0,32.63655,1976-05-13 13:00:00,2009-01-01 00:00:00
JP_000111,43.0399999945359,141.96,JP,789,0.8043116,0.2937233,0.08305382,56.8,87.0,110.9,139.2,Humid continental,289.0,60.0,27.0,32.6969,1976-04-21 12:00:00,2009-01-01 00:00:00
JP_000112,43.0799999945528,142.1,JP,789,0.8043116,0.2937233,0.08305382,58.4,89.4,114.0,143.1,Humid continental,289.0,60.0,27.0,25.41661,1983-08-02 15:00:00,2009-01-01 00:00:00
JP_000113,42.9599999945022,142.02,JP,789,0.8043116,0.2937233,0.08305382,57.8,88.5,112.8,141.6,Humid continental,289.0,60.0,27.0,25.41661,1983-08-02 15:00:00,2009-01-01 00:00:00
JP_000120,42.9799999945106,140.6,JP,368,0.8382198,0.258127,0.04786294,39.8,57.8,71.1,86.3,Humid continental,291.0,100.0,13.0,32.71024,1976-04-16 15:00:00,2009-01-01 00:00:00
JP_000123,42.8999999944767,140.76,JP,368,0.8382198,0.258127,0.04786294,44.1,64.0,78.7,95.5,Humid continental,291.0,100.0,13.0,17.34702,1991-08-28 01:00:00,2009-01-01 00:00:00
JP_000126,42.7999999944341,140.22,JP,368,0.8382198,0.258127,0.04786294,51.4,74.6,91.8,111.3,Humid continental,291.0,100.0,13.0,19.27721,1989-09-22 01:00:00,2009-01-01 00:00:00
JP_000128,42.7699999944213,140.88,JP,368,0.8382198,0.258127,0.04786294,48.0,69.6,85.7,103.9,Humid continental,291.0,100.0,13.0,32.65275,1976-05-07 15:00:00,2009-01-01 00:00:00
JP_000130,42.6599999943742,140.31,JP,368,0.8382198,0.258127,0.04786294,57.5,83.5,102.8,124.7,Humid continental,291.0,100.0,13.0,32.69633,1976-04-21 17:00:00,2009-01-01 00:00:00
JP_000132,44.469999995116,143.11,JP,1061,0.8301695,0.2794027,0.03009818,43.9,65.0,80.2,97.0,Humid continental,279.0,120.0,34.0,32.65252,1976-05-07 17:00:00,2009-01-01 00:00:00
JP_000133,44.3299999950613,142.94,JP,1061,0.8301695,0.2794027,0.03009818,43.8,64.8,79.9,96.6,Humid continental,279.0,120.0,34.0,32.65286,1976-05-07 14:00:00,2009-01-01 00:00:00
JP_000135,44.3399999950653,143.35,JP,1061,0.8301695,0.2794027,0.03009818,41.7,61.8,76.2,92.2,Humid continental,279.0,120.0,34.0,26.00137,1983-01-01 01:00:00,2009-01-01 00:00:00
JP_000138,44.1799999950022,143.06,JP,1061,0.8301695,0.2794027,0.03009818,40.3,59.7,73.6,89.0,Humid continental,279.0,120.0,34.0,32.65549,1976-05-06 15:00:00,2009-01-01 00:00:00
JP_000141,44.0499999949505,143.54,JP,1182,0.8086348,0.2695729,0.1191918,41.1,61.8,79.3,101.0,Humid continental,293.0,260.0,40.0,32.62229,1976-05-18 18:00:00,2009-01-01 00:00:00
JP_000142,43.9799999949225,143.72,JP,1182,0.8086348,0.2695729,0.1191918,43.5,65.4,84.0,107.0,Humid continental,293.0,260.0,40.0,32.65252,1976-05-07 17:00:00,2009-01-01 00:00:00
JP_000144,44.0499999949505,144.98,JP,372,0.831688,0.2656233,0.05419604,76.2,111.9,138.6,169.2,Humid continental,294.0,1000.0,13.0,32.64191,1976-05-11 14:00:00,2009-01-01 00:00:00
JP_000145,43.9499999949104,143.33,JP,1182,0.8086348,0.2695729,0.1191918,42.2,63.6,81.6,104.0,Humid continental,293.0,260.0,40.0,24.23911,1984-10-05 17:00:00,2009-01-01 00:00:00
JP_000146,43.8799999948823,143.18,JP,686,0.840102,0.272945,0.008635398,40.1,58.5,71.2,85.0,Humid continental,285.0,60.0,25.0,16.72142,1976-05-13 13:00:00,1993-02-01 00:00:00
JP_000147,43.8699999948783,143.15,JP,686,0.840102,0.272945,0.008635398,39.4,57.6,70.1,83.6,Humid continental,285.0,60.0,25.0,15.93441,1993-01-25 00:00:00,2009-01-01 00:00:00
JP_000148,43.8899999948863,143.52,JP,1182,0.8086348,0.2695729,0.1191918,43.9,66.1,84.9,108.1,Humid continental,293.0,260.0,40.0,32.62206,1976-05-18 20:00:00,2009-01-01 00:00:00
JP_000151,43.8099999948541,143.88,JP,1182,0.8086348,0.2695729,0.1191918,40.9,61.5,79.0,100.6,Humid continental,293.0,260.0,40.0,32.69142,1976-04-23 12:00:00,2009-01-01 00:00:00
JP_000153,43.8399999948662,144.28,JP,1182,0.8086348,0.2695729,0.1191918,38.5,57.9,74.4,94.7,Humid continental,293.0,260.0,40.0,30.47639,1978-07-11 13:00:00,2009-01-01 00:00:00
JP_000154,43.8399999948662,144.49,JP,1182,0.8086348,0.2695729,0.1191918,39.3,59.1,75.9,96.6,Humid continental,293.0,260.0,40.0,32.65572,1976-05-06 13:00:00,2009-01-01 00:00:00
JP_000155,43.8799999948823,144.7,JP,1182,0.8086348,0.2695729,0.1191918,41.3,62.1,79.8,101.6,Humid continental,293.0,260.0,40.0,32.65526,1976-05-06 17:00:00,2009-01-01 00:00:00
JP_000156,43.7399999948257,143.45,JP,686,0.840102,0.272945,0.008635398,47.1,68.8,83.7,99.9,Humid continental,285.0,60.0,25.0,32.63917,1976-05-12 14:00:00,2009-01-01 00:00:00
JP_000158,43.7099999948135,143.64,JP,686,0.840102,0.272945,0.008635398,45.3,66.1,80.4,96.0,Humid continental,285.0,60.0,25.0,31.14123,1977-11-10 17:00:00,2009-01-01 00:00:00
JP_000159,43.7699999948379,144.17,JP,1182,0.8086348,0.2695729,0.1191918,41.1,61.8,79.4,101.1,Humid continental,293.0,260.0,40.0,32.66119,1976-05-04 13:00:00,2009-01-01 00:00:00
JP_000164,43.6999999948094,144.03,JP,1182,0.8086348,0.2695729,0.1191918,40.7,61.3,78.7,100.2,Humid continental,293.0,260.0,40.0,20.24458,1988-10-03 17:00:00,2009-01-01 00:00:00
JP_000170,43.7299999948216,144.97,JP,372,0.831688,0.2656233,0.05419604,70.4,103.3,128.0,156.2,Humid continental,294.0,1000.0,13.0,30.42961,1978-07-28 15:00:00,2009-01-01 00:00:00
JP_000173,43.5399999947441,144.98,JP,372,0.831688,0.2656233,0.05419604,64.1,94.1,116.6,142.3,Humid continental,294.0,1000.0,13.0,32.63883,1976-05-12 17:00:00,2009-01-01 00:00:00
JP_000175,43.4799999947193,144.81,JP,372,0.831688,0.2656233,0.05419604,62.4,91.5,113.4,138.5,Humid continental,294.0,1000.0,13.0,27.46703,1976-05-13 17:00:00,2003-11-01 00:00:00
JP_000176,43.379999994678,145.12,JP,372,0.831688,0.2656233,0.05419604,66.5,97.5,120.8,147.5,Humid continental,294.0,1000.0,13.0,32.63917,1976-05-12 14:00:00,2009-01-01 00:00:00
JP_000179,43.3299999946573,145.59,JP,372,0.831688,0.2656233,0.05419604,57.5,84.4,104.6,127.7,Humid continental,294.0,1000.0,13.0,15.35113,1993-08-26 01:00:00,2009-01-01 00:00:00
JP_000181,43.2299999946157,145.26,JP,372,0.831688,0.2656233,0.05419604,67.8,99.5,123.4,150.6,Humid continental,294.0,1000.0,13.0,31.21561,1977-10-14 13:00:00,2009-01-01 00:00:00
JP_000182,43.6199999947768,144.46,JP,1182,0.8086348,0.2695729,0.1191918,52.9,79.6,102.2,130.2,Humid continental,293.0,260.0,40.0,32.62275,1976-05-18 14:00:00,2009-01-01 00:00:00
JP_000183,43.5099999947317,144.47,JP,1182,0.8086348,0.2695729,0.1191918,61.6,92.7,119.1,151.6,Humid continental,293.0,260.0,40.0,31.23739,1977-10-06 14:00:00,2009-01-01 00:00:00
JP_000186,43.2899999946406,144.59,JP,1182,0.8086348,0.2695729,0.1191918,57.1,85.8,110.3,140.4,Humid continental,293.0,260.0,40.0,32.6394,1976-05-12 12:00:00,2009-01-01 00:00:00
JP_000188,43.2299999946157,144.32,JP,1182,0.8086348,0.2695729,0.1191918,66.3,99.7,128.0,163.0,Humid continental,293.0,260.0,40.0,31.23979,1977-10-05 17:00:00,2009-01-01 00:00:00
JP_000189,43.1999999946031,144.14,JP,1182,0.8086348,0.2695729,0.1191918,71.9,108.1,138.9,176.8,Humid continental,293.0,260.0,40.0,32.63358,1976-05-14 15:00:00,2009-01-01 00:00:00
JP_000190,43.1499999945822,144.5,JP,1182,0.8086348,0.2695729,0.1191918,56.6,85.2,109.5,139.4,Humid continental,293.0,260.0,40.0,25.41661,1983-08-02 15:00:00,2009-01-01 00:00:00
JP_000191,43.1699999945906,144.97,JP,372,0.831688,0.2656233,0.05419604,69.0,101.3,125.5,153.1,Humid continental,294.0,1000.0,13.0,24.25006,1984-10-01 17:00:00,2009-01-01 00:00:00
JP_000192,43.1199999945696,145.11,JP,372,0.831688,0.2656233,0.05419604,65.7,96.4,119.5,145.8,Humid continental,294.0,1000.0,13.0,31.22097,1977-10-12 14:00:00,2009-01-01 00:00:00
JP_000193,43.1099999945654,144.12,JP,1182,0.8086348,0.2695729,0.1191918,76.5,115.1,147.9,188.3,Humid continental,293.0,260.0,40.0,32.63336,1976-05-14 17:00:00,2009-01-01 00:00:00
JP_000195,43.089999994557,144.78,JP,372,0.831688,0.2656233,0.05419604,62.9,92.4,114.4,139.7,Humid continental,294.0,1000.0,13.0,31.1305,1977-11-14 15:00:00,2009-01-01 00:00:00
JP_000197,42.9699999945064,143.88,JP,1182,0.8086348,0.2695729,0.1191918,79.6,119.8,153.8,195.9,Humid continental,293.0,260.0,40.0,32.50753,1976-06-29 16:00:00,2009-01-01 00:00:00
JP_000204,43.5899999947645,143.68,JP,686,0.840102,0.272945,0.008635398,51.1,74.7,90.9,108.4,Humid continental,285.0,60.0,25.0,25.41661,1983-08-02 15:00:00,2009-01-01 00:00:00
JP_000206,43.4699999947152,143.74,JP,686,0.840102,0.272945,0.008635398,49.1,71.7,87.2,104.1,Humid continental,285.0,60.0,25.0,32.63644,1976-05-13 14:00:00,2009-01-01 00:00:00
JP_000208,43.3699999946739,143.19,JP,686,0.840102,0.272945,0.008635398,75.6,110.4,134.4,160.3,Humid continental,285.0,60.0,25.0,32.79261,1976-03-17 13:00:00,2009-01-01 00:00:00
JP_000210,43.3599999946697,143.46,JP,686,0.840102,0.272945,0.008635398,54.9,80.2,97.6,116.5,Humid continental,285.0,60.0,25.0,25.24139,1983-10-05 15:00:00,2009-01-01 00:00:00
JP_000212,43.3199999946531,143.8,JP,686,0.840102,0.272945,0.008635398,50.2,73.4,89.3,106.6,Humid continental,285.0,60.0,25.0,25.24139,1983-10-05 15:00:00,2009-01-01 00:00:00
JP_000214,43.2299999946157,143.3,JP,686,0.840102,0.272945,0.008635398,49.8,72.7,88.5,105.6,Humid continental,285.0,60.0,25.0,32.67203,1976-04-30 14:00:00,2009-01-01 00:00:00
JP_000216,43.2399999946198,143.55,JP,686,0.840102,0.272945,0.008635398,47.7,69.7,84.9,101.3,Humid continental,285.0,60.0,25.0,32.63883,1976-05-12 17:00:00,2009-01-01 00:00:00
JP_000219,43.1199999945696,143.44,JP,686,0.840102,0.272945,0.008635398,53.3,77.9,94.8,113.1,Humid continental,285.0,60.0,25.0,25.41661,1983-08-02 15:00:00,2009-01-01 00:00:00
JP_000220,43.1299999945738,143.6,JP,686,0.840102,0.272945,0.008635398,47.3,69.1,84.1,100.3,Humid continental,285.0,60.0,25.0,32.64168,1976-05-11 16:00:00,2009-01-01 00:00:00
JP_000221,43.0799999945528,142.84,JP,686,0.840102,0.272945,0.008635398,53.2,77.6,94.5,112.8,Humid continental,285.0,60.0,25.0,32.64465,1976-05-10 14:00:00,2009-01-01 00:00:00
JP_000222,43.0999999945612,143.0,JP,686,0.840102,0.272945,0.008635398,48.3,70.5,85.8,102.4,Humid continental,285.0,60.0,25.0,32.6224,1976-05-18 17:00:00,2009-01-01 00:00:00
JP_000223,43.0499999945402,143.19,JP,686,0.840102,0.272945,0.008635398,45.8,66.9,81.5,97.2,Humid continental,285.0,60.0,25.0,31.13028,1977-11-14 17:00:00,2009-01-01 00:00:00
JP_000224,42.8999999944767,143.04,JP,686,0.840102,0.272945,0.008635398,51.0,74.5,90.7,108.2,Humid continental,285.0,60.0,25.0,32.65537,1976-05-06 16:00:00,2009-01-01 00:00:00
JP_000225,42.9199999944852,143.21,JP,686,0.840102,0.272945,0.008635398,50.8,74.2,90.3,107.8,Humid continental,285.0,60.0,25.0,21.76728,1976-04-26 13:00:00,1998-02-01 00:00:00
JP_000227,42.9199999944852,143.46,JP,686,0.840102,0.272945,0.008635398,50.0,73.0,88.9,106.0,Humid continental,285.0,60.0,25.0,32.64168,1976-05-11 16:00:00,2009-01-01 00:00:00
JP_000228,42.9199999944852,143.66,JP,386,0.8387114,0.2418423,0.08364071,56.5,81.2,100.8,124.0,Humid continental,292.0,80.0,13.0,24.25086,1984-10-01 10:00:00,2009-01-01 00:00:00
JP_000229,42.8099999944384,143.66,JP,386,0.8387114,0.2418423,0.08364071,57.3,82.4,102.3,125.9,Humid continental,292.0,80.0,13.0,32.67762,1976-04-28 13:00:00,2009-01-01 00:00:00
JP_000232,42.7899999944298,143.33,JP,386,0.8387114,0.2418423,0.08364071,64.9,93.3,115.8,142.5,Humid continental,292.0,80.0,13.0,30.17191,1978-10-30 18:00:00,2009-01-01 00:00:00
JP_000233,42.6399999943655,143.1,JP,386,0.8387114,0.2418423,0.08364071,65.7,94.4,117.2,144.2,Humid continental,292.0,80.0,13.0,31.12491,1977-11-16 16:00:00,2009-01-01 00:00:00
JP_000234,42.6499999943699,143.19,JP,386,0.8387114,0.2418423,0.08364071,64.1,92.1,114.3,140.7,Humid continental,292.0,80.0,13.0,31.12788,1977-11-15 14:00:00,2009-01-01 00:00:00
JP_000237,42.4999999943051,143.28,JP,386,0.8387114,0.2418423,0.08364071,75.2,108.1,134.2,165.1,Humid continental,292.0,80.0,13.0,32.65286,1976-05-07 14:00:00,2009-01-01 00:00:00
JP_000239,42.8099999944384,141.83,JP,789,0.8043116,0.2937233,0.08305382,57.3,87.7,111.8,140.3,Humid continental,289.0,60.0,27.0,32.64465,1976-05-10 14:00:00,2009-01-01 00:00:00
JP_000240,42.7299999944042,141.89,JP,789,0.8043116,0.2937233,0.08305382,57.9,88.6,113.0,141.8,Humid continental,289.0,60.0,27.0,32.63929,1976-05-12 13:00:00,2009-01-01 00:00:00
JP_000241,42.759999994417,142.14,JP,789,0.8043116,0.2937233,0.08305382,70.5,107.9,137.6,172.6,Humid continental,289.0,60.0,27.0,32.64146,1976-05-11 18:00:00,2009-01-01 00:00:00
JP_000244,42.6299999943612,141.25,JP,368,0.8382198,0.258127,0.04786294,102.7,149.1,183.5,222.5,Humid continental,291.0,100.0,13.0,32.67716,1976-04-28 17:00:00,2009-01-01 00:00:00
JP_000246,42.619999994357,141.55,JP,368,0.8382198,0.258127,0.04786294,64.9,94.1,115.9,140.5,Humid continental,291.0,100.0,13.0,20.52019,1988-06-25 01:00:00,2009-01-01 00:00:00
JP_000253,42.5599999943311,140.81,JP,368,0.8382198,0.258127,0.04786294,50.9,73.9,90.9,110.3,Humid continental,291.0,100.0,13.0,30.06548,1978-12-08 15:00:00,2009-01-01 00:00:00
JP_000256,42.5199999943138,141.11,JP,368,0.8382198,0.258127,0.04786294,110.1,159.8,196.7,238.5,Humid continental,291.0,100.0,13.0,23.42083,1985-07-31 14:00:00,2009-01-01 00:00:00
JP_000257,42.5399999943224,141.35,JP,368,0.8382198,0.258127,0.04786294,97.2,141.1,173.7,210.6,Humid continental,291.0,100.0,13.0,32.67762,1976-04-28 13:00:00,2009-01-01 00:00:00
JP_000259,42.4999999943051,140.89,JP,682,0.8191075,0.2656612,0.09551818,48.7,72.3,91.5,114.6,Humid continental,290.0,500.0,23.0,31.6807,1976-04-26 16:00:00,2008-01-01 00:00:00
JP_000262,42.4599999942878,141.12,JP,682,0.8191075,0.2656612,0.09551818,109.9,163.3,206.7,258.7,Humid continental,290.0,500.0,23.0,32.69941,1976-04-20 14:00:00,2009-01-01 00:00:00
JP_000267,42.8799999944682,142.44,JP,1182,0.8086348,0.2695729,0.1191918,60.8,91.5,117.6,149.7,Humid continental,293.0,260.0,40.0,31.14157,1977-11-10 14:00:00,2009-01-01 00:00:00
JP_000269,42.7699999944213,142.36,JP,1182,0.8086348,0.2695729,0.1191918,67.3,101.2,130.0,165.5,Humid continental,293.0,260.0,40.0,23.26751,1985-09-25 14:00:00,2009-01-01 00:00:00
JP_000270,42.6299999943612,142.39,JP,1182,0.8086348,0.2695729,0.1191918,65.0,97.9,125.7,160.0,Humid continental,293.0,260.0,40.0,23.26477,1985-09-26 14:00:00,2009-01-01 00:00:00
