"","X","station_id","lat","lon","country","years","location","scale","shape","rp10","rp30","rp100","kg","cluster","distance","n_gauges","record_len","start","end"
"1",1,"US_004672",39.8732699931007,-75.22678,"US",112,27.2660628255088,8.5306110900129,-0.110868819367024,44.2556221556764,51.3383014674976,58.0058509913509,"Humid subtropical",NA,NA,NA,NA,NA,NA
"2",2,"US_003702",35.595399990941,-82.5568,"US",109,23.5279632086894,7.89049605196684,-0.0207330155218128,40.8766135646477,49.3164020188037,58.1482298630253,"Humid subtropical",NA,NA,NA,NA,NA,NA
"3",3,"US_004682",40.484599993392,-80.2144,"US",108,21.668063356683,6.41012484043573,0.0234352570179125,36.4803506500523,44.2453006709783,52.803746696482,"Humid continental",NA,NA,NA,NA,NA,NA
"4",4,"AU_001461",-33.8606999900455,151.205,"AU",100,25.0825936349135,9.44537160066257,0.179829858273689,51.2829843146507,69.0898478661034,92.6812892601268,"Oceanic",NA,NA,NA,NA,NA,NA
"5",5,"AU_001087",-27.4777999871315,153.0306,"AU",85,30.5275437337819,10.1333748966613,0.0606627727781465,54.9611873373986,68.5959914195953,84.2964142472546,"Humid subtropical",NA,NA,NA,NA,NA,NA
"6",6,"IE_000031",53.4279999976471,-6.241,"IE",78,8.96825095919666,2.65390897038353,0.22054450936958,16.7014491517536,22.3177429608779,30.1240951673842,"Oceanic",NA,NA,NA,NA,NA,NA
"7",7,"AU_001026",-23.3752999860167,150.4775,"AU",76,28.5340287574371,9.65488472818693,0.0226015905306477,50.8230929472432,62.4911446099763,75.3389539719231,"Humid subtropical",NA,NA,NA,NA,NA,NA
"8",8,"US_000684",38.555199992454,-121.4183,"US",74,9.78934997276131,2.82678881685452,0.190842960659834,17.735134247498,23.2334763113124,30.6130694677767,"Mediterranean",NA,NA,NA,NA,NA,NA
"9",9,"AU_000832",-37.7472999920472,140.7739,"AU",71,9.94158108771687,2.65917619657306,0.213631988499525,17.6252458721381,23.1432666001731,30.7508042973818,"Mediterranean",NA,NA,NA,NA,NA,NA
"10",10,"US_005569",33.978599990106,-98.4928,"US",71,29.7728056393497,9.63750604983749,-0.0503620385292745,50.2768962589701,59.7608253752577,69.3459221430936,"Humid subtropical",NA,NA,NA,NA,NA,NA
"11",11,"US_001051",29.1827999878086,-81.0483,"US",70,40.6170806950111,11.3899557076254,-0.12445347313349,62.972268425026,72.075431188913,80.5095663717484,"Humid subtropical",NA,NA,NA,NA,NA,NA
"12",12,"US_005041",35.2294999907515,-101.7042,"US",70,26.3127238228834,9.76374057484278,0.177241018640203,53.3122039016326,71.5846017353531,95.7191080926982,"Arid cold",NA,NA,NA,NA,NA,NA
"13",13,"US_005472",29.5442999879645,-98.4839,"US",70,39.5483998267463,13.1559595644761,-0.111358653576011,65.7359639356461,76.6439144788676,86.9066296015116,"Humid subtropical",NA,NA,NA,NA,NA,NA
"14",14,"US_005555",31.6188899889235,-97.22833,"US",70,31.6786582264359,7.37701602662985,0.23316413168704,53.5081179553045,69.6896020662124,92.5180148967806,"Humid subtropical",NA,NA,NA,NA,NA,NA
"15",15,"AU_001806",-41.5396999938797,147.2033,"AU",69,9.98578385432979,2.5493693560615,0.204872887865885,17.2743002859787,22.434500523384,29.4756777607419,"Oceanic",NA,NA,NA,NA,NA,NA
"16",16,"US_005028",32.4104999893122,-99.6822,"US",69,29.239007267352,9.32024610146966,-0.0489359933616405,49.0993668796828,58.3079446570916,67.6303483898359,"Humid subtropical",NA,NA,NA,NA,NA,NA
"17",17,"US_005051",30.3207999883115,-97.7604,"US",69,35.7341959265797,11.7635064952484,-0.0603634174234541,60.4871374738571,71.7422281178634,82.9845979131095,"Humid subtropical",NA,NA,NA,NA,NA,NA
"18",18,"AU_001504",-35.3048999907905,149.2014,"AU",68,16.0514612233321,5.46691402742103,-0.0426360661054713,27.7822616000212,33.2802305976698,38.8874836143694,"Oceanic",NA,NA,NA,NA,NA,NA
"19",19,"US_005097",25.9140999866102,-97.423,"US",68,39.5219474441452,15.5957288044436,-0.137543593145515,69.7061117092548,81.7215407063321,92.6843094476529,"Humid subtropical",NA,NA,NA,NA,NA,NA
"20",20,"AU_000870",-17.9474999860801,122.2353,"AU",67,31.8478677743361,13.2670176243011,0.0304185162835549,62.7491039283783,79.1398457243996,97.3544344240257,"Arid hot",NA,NA,NA,NA,NA,NA
"21",21,"AU_001301",-31.0260999886396,150.2687,"AU",67,18.5548620291868,6.5183319542984,0.0187871394500751,33.5379998700263,41.3312187562164,49.8740287351324,"Humid subtropical",NA,NA,NA,NA,NA,NA
"22",22,"NL_000008",52.0999999973876,5.18,"NL",66,13.3751810799773,5.77510458710033,0.0801078476764635,27.6163869657208,35.8257672442954,45.4974975343518,"Oceanic",NA,NA,NA,NA,NA,NA
"23",23,"US_000163",32.131299989174,-110.9552,"US",64,18.0766238085076,7.28624722213887,0.0250429113433551,34.9441845049941,43.8105359236081,53.6014168065137,"Arid hot",NA,NA,NA,NA,NA,NA
