"","station_id","lat","lon","country","years","location","scale","shape","index","rp10","rp30","rp100","kg","cluster","distance","n_gauges","record_len","start","end","rp10_vs_PXR2","rp100_vs_PXR2"
"360","AU_001467",-33.676099989951,151.1818,"AU",592,0.805287114230676,0.299172581737683,0.069628544206735,46.5,71.3,90.5,112.9,"Humid subtropical",5,100,15,27.65686,"1987-11-03 09:00:00","2015-07-01 00:00:00",NA,NA
"361","AU_001473",-33.6021999899133,150.7794,"AU",592,0.805287114230676,0.299172581737683,0.069628544206735,38.5,59,74.9,93.3,"Humid subtropical",5,100,15,41.55133,"1953-05-13 10:00:00","1994-12-01 00:00:00",-42.1148989336243,-52.8558270947497
"362","AU_001474",-33.9271999900796,150.9128,"AU",592,0.805287114230676,0.299172581737683,0.069628544206735,38.7,59.3,75.3,93.8,"Humid subtropical",5,100,15,36.98312,"1965-01-06 23:00:00","2002-01-01 00:00:00",-15.690832555469,-30.1721541929144
"363","AU_001479",-34.4868999903676,150.4019,"AU",465,0.827637345045532,0.271574641270547,0.0551338344407782,31.8,47,58.5,71.6,"Oceanic",21,240,18,22.32124,"1992-12-04 05:00:00","2015-04-01 00:00:00",NA,NA
"364","AU_001480",-34.5899999904207,150.6085,"AU",592,0.805287114230676,0.299172581737683,0.069628544206735,54,82.9,105.2,131.2,"Oceanic",5,100,15,42.65412,"1962-11-04 15:00:00","2005-07-01 00:00:00",-41.6354404999701,-48.6664349979932
"365","AU_001481",-34.4673999903575,150.8813,"AU",592,0.805287114230676,0.299172581737683,0.069628544206735,51.5,79,100.3,125,"Humid subtropical",5,100,15,52.23637,"1963-05-06 17:00:00","2015-08-01 00:00:00",-43.3836876739342,-50.1619503658594
"366","AU_001487",-35.0849999906767,150.23,"AU",335,0.839427551247827,0.288447578462711,-0.0211666763840326,49.5,72.9,88.2,104.2,"Oceanic",13,100,10,20.58373,"1963-01-30 20:00:00","1983-09-01 00:00:00",NA,NA
"367","AU_001495",-36.9295999916297,149.646,"AU",187,0.790083264333588,0.286226724339368,0.137550186701366,44.5,68.8,90.1,117,"Oceanic",136,180,6,20.40623,"1993-01-03 16:00:00","2013-06-01 00:00:00",NA,NA
"368","AU_001500",-35.6866999909882,149.8382,"AU",335,0.839427551247827,0.288447578462711,-0.0211666763840326,35,51.6,62.4,73.7,"Oceanic",13,100,10,34.74778,"1980-07-01 10:00:00","2015-04-01 00:00:00",-31.7011956100927,-40.1836876097424
"369","AU_001503",-34.8995999905807,149.9709,"AU",335,0.839427551247827,0.288447578462711,-0.0211666763840326,32.1,47.3,57.1,67.5,"Oceanic",13,100,10,50.12263,"1965-05-16 18:00:00","2015-07-01 00:00:00",-19.0934054827052,-31.2518622740244
"370","AU_001504",-35.3048999907905,149.2014,"AU",335,0.839427551247827,0.288447578462711,-0.0211666763840326,28.6,42.2,51,60.3,"Oceanic",13,100,10,72.92676,"1937-12-27 13:00:00","2010-12-01 00:00:00",-17.2896701842274,-26.4152413514437
"371","AU_001505",-35.299999990788,149.1,"AU",335,0.839427551247827,0.288447578462711,-0.0211666763840326,28.3,41.6,50.3,59.5,"Oceanic",13,100,10,39.23785,"1932-01-04 10:00:00","1971-04-01 00:00:00",-41.2382936306761,-48.5983207859251
"372","AU_001506",-34.4577999903525,149.4693,"AU",335,0.839427551247827,0.288447578462711,-0.0211666763840326,24.8,36.5,44.2,52.2,"Oceanic",13,100,10,18.80903,"1956-02-09 01:00:00","1974-12-01 00:00:00",NA,NA
